date,ch1,ch2,hono,err
44974.46566,-31.9922756,-31.06206338,-0.970079709,0.11252577
44974.46601,-31.99356152,-31.06199673,-0.971433885,0.112390352
44974.46635,-31.99484744,-31.06193007,-0.972788062,0.112254934
44974.4667,-31.99613336,-30.99747668,-1.03852898,0.105680842
44974.46705,-32.05936321,-30.93302329,-1.166291009,0.09290464
44974.4674,-31.99870521,-30.86856989,-1.170010815,0.092532659
44974.46774,-32.06193505,-30.8041165,-1.297772845,0.079756456
44974.46809,-32.06322097,-30.73966311,-1.363513763,0.073182364
44974.46844,-32.12645081,-30.67520971,-1.491275792,0.060406161
44974.46878,-32.12773674,-30.7395298,-1.428243228,0.066709418
44974.46913,-32.06707874,-30.80384989,-1.303189551,0.079214785
44974.46948,-32.13030858,-30.7393965,-1.430951581,0.066438582
44974.46983,-32.1315945,-30.6749431,-1.496692499,0.059864491
44974.47017,-32.25676826,-30.73926319,-1.557702157,0.053763525
44974.47052,-32.25805418,-30.86797002,-1.430282852,0.066505455
44974.47087,-32.25934011,-30.86790337,-1.431637028,0.066370038
44974.47122,-32.38451387,-30.93222346,-1.492646687,0.060269072
44974.47156,-32.26191195,-31.06093029,-1.241185158,0.085415225
44974.47191,-32.32514179,-31.18963712,-1.175786964,0.091955044
44974.47226,-32.38837163,-31.18957047,-1.239162252,0.085617515
44974.4726,-32.32771364,-31.3182773,-1.049721835,0.104561557
44974.47295,-32.32899956,-31.38259739,-0.986689271,0.110864813
44974.4733,-32.33028548,-31.51130422,-0.859269965,0.123606744
44974.47365,-32.39351532,-31.51123756,-0.922645253,0.117269215
44974.47399,-32.45674516,-31.57555765,-0.9216338,0.11737036
44974.47434,-32.45803108,-31.44671752,-1.051761459,0.104357595
44974.47469,-32.45931701,-31.57542435,-0.924342153,0.117099525
44974.47503,-32.46060293,-31.63974444,-0.861309589,0.123402782
44974.47538,-32.52383277,-31.57529104,-0.989071618,0.110626579
44974.47573,-32.58706261,-31.63961113,-0.988060165,0.110727724
44974.47608,-32.58834853,-31.70393122,-0.925027601,0.11703098
44974.47642,-32.52769054,-31.70386457,-0.864360666,0.123097674
44974.47677,-32.6528643,-31.8325714,-0.860983584,0.123435382
44974.47712,-32.65415022,-31.89689149,-0.797951019,0.129738639
44974.47747,-32.46960438,-32.02559832,-0.484468379,0.161086903
44974.47781,-32.59477814,-31.89675818,-0.738638261,0.135669914
44974.47816,-32.59606406,-31.89669153,-0.739992437,0.135534497
44974.47851,-32.72123783,-31.96101162,-0.801002096,0.129433531
44974.47885,-32.72252375,-32.02533171,-0.737969532,0.135736787
44974.4792,-32.78575359,-32.0896518,-0.736958079,0.135837933
44974.47955,-32.78703951,-32.02519841,-0.802698996,0.129263841
44974.4799,-32.66443759,-32.02513175,-0.68001095,0.141532645
44974.48024,-32.66572352,-32.0250651,-0.681365127,0.141397228
44974.48059,-32.79089728,-32.08938519,-0.742374785,0.135296262
44974.48094,-32.85412712,-32.08931854,-0.805750074,0.128958733
44974.48128,-32.66958128,-32.15363863,-0.556654174,0.153868323
44974.48163,-32.85669896,-32.08918523,-0.808458427,0.128687898
44974.48198,-32.9199288,-32.21789206,-0.743060233,0.135227717
44974.48233,-32.85927081,-32.28221215,-0.618006557,0.147733085
44974.48267,-32.92250065,-32.34653224,-0.616995104,0.14783423
44974.48302,-32.92378657,-32.28207885,-0.682736022,0.141260138
44974.48337,-32.92507249,-32.41078568,-0.555316716,0.154002069
44974.48372,-32.92635841,-32.34633228,-0.621057634,0.147427977
44974.48406,-33.05153217,-32.34626563,-0.746454034,0.134888337
44974.48441,-33.0528181,-32.34619898,-0.74780821,0.134752919
44974.48476,-33.17799186,-32.47490581,-0.744431128,0.135090628
44974.4851,-33.17927778,-32.41045242,-0.810172046,0.128516536
44974.48545,-33.24250762,-32.41038576,-0.873547334,0.122179007
44974.4858,-33.24379354,-32.41031911,-0.87490151,0.122043589
44974.48615,-33.18313555,-32.4746392,-0.749847834,0.134548957
44974.48649,-33.18442147,-32.28141233,-0.944362235,0.115097517
44974.48684,-33.24765131,-32.41011916,-0.87896404,0.121637336
44974.48719,-33.24893723,-32.4100525,-0.880318217,0.121501919
44974.48753,-33.31216707,-32.47437259,-0.879306764,0.121603064
44974.48788,-33.37539691,-32.47430594,-0.942682052,0.115265535
44974.48823,-33.31473892,-32.60301277,-0.753241635,0.134209577
44974.48858,-33.31602484,-32.60294612,-0.754595812,0.134074159
44974.48892,-33.37925468,-32.66726621,-0.753584359,0.134175305
44974.48927,-33.3805406,-32.60281281,-0.819325277,0.127601213
44974.48962,-33.3198826,-32.6671329,-0.694271601,0.14010658
44974.48997,-33.32116853,-32.60267951,-0.760012518,0.133532489
44974.49031,-33.50828621,-32.79577308,-0.754269806,0.13410676
44974.49066,-33.50957213,-32.73131969,-0.820010724,0.127532668
44974.49101,-33.44891413,-32.73125303,-0.759343789,0.133599362
44974.49135,-33.51214397,-32.79557312,-0.758332336,0.133700507
44974.4917,-33.51342989,-32.73111973,-0.824073254,0.127126415
44974.49205,-33.51471582,-32.66666634,-0.889814172,0.120552323
44974.4924,-33.51600174,-32.66659968,-0.891168349,0.120416906
44974.49274,-33.51728766,-32.73091977,-0.828135784,0.126720162
44974.49309,-33.5805175,-32.79523986,-0.827124331,0.126821307
44974.49344,-33.58180342,-32.92394669,-0.699705026,0.139563238
44974.49378,-33.58308935,-32.79510656,-0.829832685,0.126550472
44974.49413,-33.58437527,-32.85942665,-0.76680012,0.132853728
44974.49448,-33.52371727,-32.85935999,-0.706133185,0.138920422
44974.49483,-33.58694711,-32.98806682,-0.640734991,0.145460241
44974.49517,-33.65017695,-32.98800017,-0.704110279,0.139122713
44974.49552,-33.65146287,-32.92354678,-0.769851197,0.132548621
44974.49587,-33.59080488,-32.98786687,-0.644797521,0.145053988
44974.49622,-33.53014688,-32.92341347,-0.648517327,0.144682008
44974.49656,-33.71726456,-32.92334682,-0.835934839,0.125940257
44974.49691,-33.65660656,-32.98766691,-0.710881163,0.138445624
44974.49726,-33.78178032,-33.051987,-0.771890821,0.132344658
44974.4976,-33.84501016,-33.05192035,-0.83526611,0.126007129
44974.49795,-33.78435217,-32.98746695,-0.838985916,0.125635149
44974.4983,-33.78563809,-33.05178704,-0.775953351,0.131938405
44974.49865,-33.72498009,-33.11610713,-0.650899675,0.144443773
44974.49899,-33.72626601,-33.05165374,-0.716640593,0.137869681
44974.49934,-33.78949585,-33.18036057,-0.651242399,0.144409501
44974.49969,-33.91466962,-33.11590717,-0.84102554,0.125431186
44974.50003,-33.91595554,-33.244614,-0.713606234,0.138173117
44974.50038,-33.85529754,-33.18016061,-0.71732604,0.137801136
44974.50073,-33.91852738,-33.2444807,-0.716314588,0.137902282
44974.50108,-33.79592546,-33.30880079,-0.5292398,0.15660976
44974.50142,-33.85915531,-33.30873414,-0.592615088,0.150272232
44974.50177,-33.92238515,-33.30866748,-0.655990376,0.143934703
44974.50212,-33.86172715,-33.37298757,-0.5309367,0.15644007
44974.50247,-33.86301307,-33.30853418,-0.596677618,0.149865979
44974.50281,-33.92624291,-33.30846753,-0.660052906,0.14352845
44974.50316,-33.98947275,-33.30840088,-0.723428195,0.137190921
44974.50351,-34.0527026,-33.37272096,-0.722416742,0.137292066
44974.50385,-33.9920446,-33.30826757,-0.726136548,0.136920086
44974.5042,-34.11721836,-33.37258766,-0.787146207,0.13081912
44974.50455,-34.05656036,-33.37252101,-0.726479272,0.136885813
44974.5049,-34.05784628,-33.4368411,-0.663446707,0.14318907
44974.50524,-34.05913221,-33.3723877,-0.729187625,0.136614978
44974.50559,-34.06041813,-33.50109453,-0.601768319,0.149356909
44974.50594,-33.99976013,-33.43664114,-0.605488126,0.148984928
44974.50628,-34.00104605,-33.50096123,-0.542455561,0.155288184
44974.50663,-34.00233197,-33.56528132,-0.479422997,0.161591441
44974.50698,-33.94167398,-33.50082792,-0.483142803,0.16121946
44974.50733,-34.00490382,-33.43637453,-0.610904832,0.148443257
44974.50767,-34.00618974,-33.56508136,-0.483485527,0.161185188
44974.50802,-34.06941958,-33.50062797,-0.611247556,0.148408985
44974.50837,-34.0707055,-33.50056131,-0.612601733,0.148273567
44974.50872,-34.07199143,-33.50049466,-0.613955909,0.14813815
44974.50906,-34.07327735,-33.50042801,-0.615310086,0.148002732
44974.50941,-34.07456327,-33.50036136,-0.616664263,0.147867314
44974.50976,-34.07584919,-33.43590796,-0.68240518,0.141293222
44974.5101,-34.13907903,-33.56461479,-0.617006986,0.147833042
44974.51045,-34.07842104,-33.5001614,-0.620726793,0.147461061
44974.5108,-34.2035948,-33.50009475,-0.746123192,0.134921421
44974.51115,-34.1429368,-33.43564136,-0.749842999,0.134549441
44974.51149,-34.26811056,-33.4355747,-0.875239398,0.122009801
44974.51184,-34.14550864,-33.56428153,-0.62377787,0.147155953
44974.51219,-34.14679456,-33.49982814,-0.689518787,0.140581862
44974.51253,-34.27196833,-33.56414823,-0.750528446,0.134480896
44974.51288,-34.14936641,-33.56408158,-0.6278404,0.1467497
44974.51323,-34.21259625,-33.56401492,-0.691215688,0.140412172
